budget,genres,homepage,id,keywords,original_language,original_title,overview,viewercount,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_count,Rate
25000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.maoslastdancermovie.com/,33870,"[{""id"": 4328, ""name"": ""costume""}, {""id"": 4528, ""name"": ""song""}, {""id"": 5331, ""name"": ""village""}, {""id"": 6044, ""name"": ""promise""}, {""id"": 10551, ""name"": ""ballet""}]",en,Mao's Last Dancer,"At the age of 11, Li was plucked from a poor Chinese village by Madame Mao's cultural delegates and taken to Beijing to study ballet. In 1979, during a cultural exchange to Texas, he fell in love with an American woman. Two years later, he managed to defect and went on to perform as a principal dancer for the Houston Ballet and as a principal artist with the Australian Ballet.",1.876811,"[{""name"": ""Great Scott Productions Pty. Ltd."", ""id"": 2814}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",10/01/2009,20719451,117,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,最后的舞者,Mao's Last Dancer,28,High
38000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",,193,"[{""id"": 10988, ""name"": ""based on tv series""}, {""id"": 34079, ""name"": ""death""}, {""id"": 162410, ""name"": ""exploding planet""}, {""id"": 162415, ""name"": ""mountain cabin""}, {""id"": 162429, ""name"": ""solar system""}]",en,Star Trek: Generations,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,14.779041,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/17/1994,120000000,118,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Boldly go.,Star Trek: Generations,452,Intermediate
20000000,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]",http://focusfeatures.com/film/milk/,10139,"[{""id"": 237, ""name"": ""gay""}, {""id"": 582, ""name"": ""san francisco""}, {""id"": 1013, ""name"": ""homophobia""}, {""id"": 1919, ""name"": ""mayor""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 6078, ""name"": ""politics""}, {""id"": 6083, ""name"": ""politician""}, {""id"": 6085, ""name"": ""election campaign""}, {""id"": 10180, ""name"": ""homosexuality""}, {""id"": 11011, ""name"": ""morality""}, {""id"": 15134, ""name"": ""election""}, {""id"": 166625, ""name"": ""candlelight vigil""}, {""id"": 226553, ""name"": ""mayoral campaign""}]",en,Milk,"The story of California's first openly gay elected official, Harvey Milk, who  became an outspoken agent for change, seeking equal rights and opportunities for all. His great love for the city and its people brought him backing from young and old, straight and gay, alike – at a time when prejudice and violence against gays was openly accepted as the norm.",30.909699,"[{""name"": ""Focus Features"", ""id"": 10146}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/26/2008,54586584,128,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Never Blend In.,Milk,612,High
23000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,11632,"[{""id"": 212, ""name"": ""london england""}, {""id"": 4107, ""name"": ""british empire""}, {""id"": 4320, ""name"": ""lover""}, {""id"": 5212, ""name"": ""advancement""}, {""id"": 155697, ""name"": ""aristocrat""}, {""id"": 187056, ""name"": ""woman director""}]",en,Vanity Fair,"Beautiful, funny, passionate, and calculating, Becky is the orphaned daughter of a starving English artist and a French chorus girl. She yearns for a more glamorous life than her birthright promises and resolves to conquer English society by any means possible. A mere ascension into the heights of society is simply not enough. So Becky finds a patron in the powerful Marquess of Steyne whose whims enable Becky to realise her dreams. But is the ultimate cost too high for her?",6.618149,"[{""name"": ""Alliance Films"", ""id"": 2514}, {""name"": ""Focus Features"", ""id"": 10146}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",09/01/2004,16123851,141,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,"On September 1st, a heroine will rise.",Vanity Fair,73,Intermediate
52000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.frompariswithlovefilm.com/,26389,"[{""id"": 90, ""name"": ""paris""}, {""id"": 591, ""name"": ""cia""}, {""id"": 1568, ""name"": ""undercover""}, {""id"": 1653, ""name"": ""explosive""}, {""id"": 1667, ""name"": ""pimp""}, {""id"": 1704, ""name"": ""ambassador""}, {""id"": 2095, ""name"": ""anti hero""}, {""id"": 4087, ""name"": ""revelation""}, {""id"": 4653, ""name"": ""french""}, {""id"": 6083, ""name"": ""politician""}, {""id"": 6112, ""name"": ""firearm""}, {""id"": 9758, ""name"": ""deception""}, {""id"": 9844, ""name"": ""car crash""}, {""id"": 10726, ""name"": ""gang""}]",en,From Paris with Love,"James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig, working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realizes that Charlie may be his only hope of survival.",27.916284,"[{""name"": ""Apipoula\u00ef"", ""id"": 1076}, {""name"": ""M6 Films"", ""id"": 1115}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""TPS Star"", ""id"": 6586}, {""name"": ""Grive Productions"", ""id"": 6877}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""M6"", ""id"": 11261}, {""name"": ""W9"", ""id"": 34774}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}]",02/05/2010,52826594,92,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,Two agents. One city. No merci.,From Paris with Love,675,Intermediate
28000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",http://www.straightouttacompton.com/,277216,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 740, ""name"": ""aids""}, {""id"": 796, ""name"": ""police brutality""}, {""id"": 897, ""name"": ""rap music""}, {""id"": 898, ""name"": ""hip-hop""}, {""id"": 1157, ""name"": ""wife husband relationship""}, {""id"": 2016, ""name"": ""vandalism""}, {""id"": 2231, ""name"": ""drug dealer""}, {""id"": 2334, ""name"": ""nightclub""}, {""id"": 2930, ""name"": ""freedom of speech""}, {""id"": 4108, ""name"": ""protest""}, {""id"": 4562, ""name"": ""rapper""}, {""id"": 4741, ""name"": ""recording contract""}, {""id"": 5626, ""name"": ""from rags to riches""}, {""id"": 6093, ""name"": ""assault""}, {""id"": 6564, ""name"": ""terminal illness""}, {""id"": 7312, ""name"": ""road trip""}, {""id"": 9672, ""name"": ""based on true story""}, {""id"": 9932, ""name"": ""feud""}, {""id"": 10726, ""name"": ""gang""}, {""id"": 10776, ""name"": ""marijuana""}, {""id"": 11148, ""name"": ""police chase""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 12425, ""name"": ""racism""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 156158, ""name"": ""racial slur""}, {""id"": 157499, ""name"": ""mother son relationship""}, {""id"": 158111, ""name"": ""no opening credits""}, {""id"": 160497, ""name"": ""wrongful arrest""}, {""id"": 163764, ""name"": ""death of brother""}, {""id"": 169213, ""name"": ""milwaukee wisconsin""}, {""id"": 169590, ""name"": ""police raid""}, {""id"": 178036, ""name"": ""police harassment""}, {""id"": 178929, ""name"": ""detroit michigan""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 187903, ""name"": ""gangster rap""}, {""id"": 195162, ""name"": ""record company""}, {""id"": 208289, ""name"": ""1980s""}, {""id"": 217467, ""name"": ""music tour""}, {""id"": 217469, ""name"": ""reference to rodney king""}, {""id"": 217474, ""name"": ""intimidation by police""}, {""id"": 217475, ""name"": ""los angeles riots""}, {""id"": 217482, ""name"": ""compton california""}]",en,Straight Outta Compton,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.",61.76233,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Cube Vision"", ""id"": 2780}, {""name"": ""Broken Chair Flickz"", ""id"": 63924}, {""name"": ""Crucial Films"", ""id"": 63925}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/13/2015,201634991,147,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Story of N.W.A.,Straight Outta Compton,1355,High
26000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,14181,"[{""id"": 6118, ""name"": ""finances""}, {""id"": 179018, ""name"": ""stock broker""}, {""id"": 193889, ""name"": ""investment firm""}]",en,Boiler Room,"A college dropout gets a job as a broker for a suburban investment firm, which puts him on the fast track to success, but the job might not be as legitimate as it sounds.",11.233081,"[{""name"": ""New Line Cinema"", ""id"": 12}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/18/2000,28780255,118,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Welcome to the new American dream.,Boiler Room,201,Intermediate
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,10413,"[{""id"": 1563, ""name"": ""prisoner""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 2434, ""name"": ""liberation""}, {""id"": 4917, ""name"": ""shelter""}]",en,Nowhere to Run,Escaped convict Sam Gillen single handedly takes on ruthless developers determined to evict Clydie - a widow with two young children. Nobody knows who Sam is.,11.689337,"[{""name"": ""Columbia Pictures"", ""id"": 5}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1/15/1993,0,94,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"When the law can't protect the innocent,  the only hero left is an outlaw.",Nowhere to Run,119,Intermediate
4000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",,2370,"[{""id"": 242, ""name"": ""new york""}, {""id"": 591, ""name"": ""cia""}, {""id"": 701, ""name"": ""cuba""}, {""id"": 2106, ""name"": ""cold war""}, {""id"": 9937, ""name"": ""suspense""}]",en,Topaz,"A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring.",5.975604,"[{""name"": ""Universal Pictures"", ""id"": 33}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/18/1969,6000000,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Hitchcock takes you behind the actual headlines to expose the most explosive spy scandal of the century!,Topaz,77,Intermediate
12000000,"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 10402, ""name"": ""Music""}]",http://www.katyperry.com/movie/,101267,"[{""id"": 187056, ""name"": ""woman director""}]",en,Katy Perry: Part of Me,"Giving fans unprecedented access to the real life of the music sensation, Katy Perry: Part of Me exposes the hard work, dedication and phenomenal talent of a girl who remained true to herself and her vision in order to achieve her dreams. Featuring rare behind-the-scenes interviews, personal moments between Katy and her friends, and all-access footage of rehearsals, choreography, Katy’s signature style and more, Katy Perry: Part of Me reveals the singer’s unwavering belief that if you can be yourself, then you can be anything.",8.410688,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""MTV Films"", ""id"": 746}, {""name"": ""Insurge Pictures"", ""id"": 7377}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/28/2012,32726956,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Be yourself and you can be anything,Katy Perry: Part of Me,85,Intermediate
